Rang,Numéro du poste,Commune,Etablissement,Type de poste,Nature de support,Spécialité / Nb classes,Nb de postes vacants,Nb de postes susceptibles d'être vacants
1,2551,Toulouse,Ecole Elementaire Application Ricardie 3(0310160f),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
2,141909,Toulouse,Ecole Primaire Publique Calas - Dupont(0310161g),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
3,2552,Toulouse,Ecole Primaire Application Benezet (0310162h) E,E,Compensationdécharge dedirecteur,Sans spécialité,0,1
4,1207,Toulouse,Ecole Maternelle D Application Ricardie 1(0310203c),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
5,188238,Toulouse,Ecole Maternelle Publique Jean Monnet(0310215r),E,Compensationdécharge dedirecteur,Sans spécialité,1,0
6,188270,Toulouse,Ecole Primaire Falguiere (0310916c),E,Compensationdécharge dedirecteur,Sans spécialité,1,0
7,1255,Toulouse,Ecole Elementaire Publique Lalande (0310921h) E,E,Compensationdécharge dedirecteur,Sans spécialité,0,1
8,1256,Toulouse,Ecole Elementaire Publique Cuvier (0310970l),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
9,175096,Toulouse,Ecole Primaire Publique Grand Selve(0310975s),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
10,168867,Toulouse,Ecole Elementaire Application Maurice Becanne(0311025w),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
11,1257,Toulouse,Ecole Elementaire Publique Lapujade(0311089r),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
12,1258,Toulouse,Ecole Elementaire Publique Paul Dottin(0311305a),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
13,1259,Toulouse,Ecole Primaire Publique Sept-Deniers(0312080t),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
14,1260,Toulouse,Ecole Primaire Publique Amidonniers(0312088b),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
15,1261,Toulouse,Ecole Elementaire Publique Jules Ferry(0312110a),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
16,158914,Toulouse,Ecole Elementaire Publique Alfred De Musset(0312151v),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
17,188321,Toulouse,Ecole Primaire Publique Littre (0312155z),E,Compensationdécharge dedirecteur,Sans spécialité,1,0
18,1262,Toulouse,Ecole Elementaire Publique Soupetard(0312174v),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
19,1263,Toulouse,Ecole Elementaire Publique Ernest Renan(0312178z),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
20,1264,Toulouse,Ecole Elementaire Publique Victor Hugo(0312196u),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
21,1265,Toulouse,Ecole Elementaire Publique Buffon (0312227c),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
22,1266,Toulouse,Ecole Elementaire Publique Etienne Billieres(0312272b),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
23,1267,Toulouse,Ecole Elementaire Publique Jules Julien(0312273c),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
24,1268,Toulouse,Ecole Elementaire Publique Michoun (0312276f) E,E,Compensationdécharge dedirecteur,Sans spécialité,0,1
25,175099,Toulouse,Ecole Elementaire Publique Lakanal (0312292y) E,E,Compensationdécharge dedirecteur,Sans spécialité,0,1
26,173543,Toulouse,Ecole Elementaire Publique Simone Veil(0312323g),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
27,1270,Toulouse,Ecole Elementaire Publique Georges Bastide(0312334u),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
28,1271,Toulouse,Ecole Elementaire Publique Clement Falcucci(0312347h),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
29,1272,Toulouse,Ecole Elementaire Publique Paul Bert(0312402t),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
30,1273,Toulouse,Ecole Elementaire Publique Sylvain Dauriac(0312411c),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
31,1274,Toulouse,Ecole Elementaire Publique Marie Et PierreCurie (0312427v),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
32,1275,Toulouse,Ecole Elementaire Publique Papus (0312542v),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
33,188351,Toulouse,Ecole Elementaire Publique Fleurance(0312680v),E,Compensationdécharge dedirecteur,Sans spécialité,1,0
34,141934,Toulouse,Ecole Primaire Publique Olympe De Gouges(0312722r),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
35,1276,Toulouse,Ecole Primaire Publique Ponts Jumeaux(0312852g),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
36,1277,Toulouse,Ecole Primaire Publique Guilhermy (0312870b),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
37,141939,Toulouse,Ecole Primaire Niboul (0312871c),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
38,168856,Toulouse,Ecole Elementaire Publique Jules GeraudSaliege (0312892a),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
39,1278,Toulouse,Ecole Primaire Genevieve De Gaulle Anthonioz(0312921g),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
40,141944,Toulouse,Ecole Elementaire Publique Jean Zay(0312922h),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
41,188359,Toulouse,Ecole Elementaire Publique Borderouge(0312942e),E,Compensationdécharge dedirecteur,Sans spécialité,1,0
42,168857,Toulouse,Ecole Primaire Georges Mailhos (0312975r),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
43,141941,Toulouse,Ecole Primaire Josephine Baker (0312977t),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
44,175101,Toulouse,Ecole Primaire Canto Laouzetto (0313018m),E,Compensationdécharge dedirecteur,Sans spécialité,0,1
45,2554,Toulouse,Ecole Elementaire Application Ricardie 3(0310160f),E,Enseignant classeélémentaire,Sans spécialité,0,7
46,1604,Toulouse,Ecole Primaire Publique Calas - Dupont(0310161g),E,Enseignant classeélémentaire,Sans spécialité,1,5
47,2555,Toulouse,Ecole Primaire Application Benezet (0310162h) E,E,Enseignant classeélémentaire,Sans spécialité,0,1
48,1605,Toulouse,Ecole Primaire Falguiere (0310916c),E,Enseignant classeélémentaire,Sans spécialité,0,7
49,1606,Toulouse,Ecole Elementaire Publique Claude Nougaro(0310917d),E,Enseignant classeélémentaire,Sans spécialité,0,7
50,1607,Toulouse,Ecole Elementaire Publique Lalande (0310921h) E,E,Enseignant classeélémentaire,Sans spécialité,3,14
51,1608,Toulouse,Ecole Elementaire Publique Jean Chaubet(0310928r),E,Enseignant classeélémentaire,Sans spécialité,0,6
52,1609,Toulouse,Ecole Elementaire Publique Bonhoure(0310929s),E,Enseignant classeélémentaire,Sans spécialité,0,3
53,1610,Toulouse,Ecole Elementaire Publique Marengo-Periole(0310934x),E,Enseignant classeélémentaire,Sans spécialité,2,4
54,1611,Toulouse,Ecole Primaire Sermet (0310950p),E,Enseignant classeélémentaire,Sans spécialité,0,3
55,1612,Toulouse,Ecole Elementaire Publique Nord (0310952s),E,Enseignant classeélémentaire,Sans spécialité,0,1
56,1613,Toulouse,Ecole Elementaire Publique Leo Lagrange(0310960a),E,Enseignant classeélémentaire,Sans spécialité,2,6
57,1614,Toulouse,Ecole Elementaire Publique Cuvier (0310970l),E,Enseignant classeélémentaire,Sans spécialité,2,10
58,1615,Toulouse,Ecole Primaire Publique Grand Selve(0310975s),E,Enseignant classeélémentaire,Sans spécialité,0,7
59,1616,Toulouse,Ecole Elementaire Publique Georges Hyon(0310987e),E,Enseignant classeélémentaire,Sans spécialité,1,3
60,1617,Toulouse,Ecole Elementaire Publique Ronsard (0310988f) E,E,Enseignant classeélémentaire,Sans spécialité,0,7
61,1618,Toulouse,Ecole Elementaire Publique Bonnefoy(0310992k),E,Enseignant classeélémentaire,Sans spécialité,0,6
62,1619,Toulouse,Ecole Elementaire Publique Bayard-Matabiau(0310993l),E,Enseignant classeélémentaire,Sans spécialité,1,5
63,1620,Toulouse,Ecole Elementaire Publique Sauzelong(0311006a),E,Enseignant classeélémentaire,Sans spécialité,0,4
64,1621,Toulouse,Ecole Primaire Publique Alexandre Fourtanier(0311008c),E,Enseignant classeélémentaire,Sans spécialité,0,3
65,1622,Toulouse,Ecole Primaire Armand Leygue (0311010e),E,Enseignant classeélémentaire,Sans spécialité,0,4
66,1623,Toulouse,Ecole Elementaire Publique Fontaine Bayonne(0311015k),E,Enseignant classeélémentaire,Sans spécialité,0,3
67,1624,Toulouse,Ecole Elementaire Publique Marcel Pagnol(0311016l),E,Enseignant classeélémentaire,Sans spécialité,0,5
68,1625,Toulouse,Ecole Elementaire Publique Lespinasse(0311021s),E,Enseignant classeélémentaire,Sans spécialité,0,6
69,1626,Toulouse,Ecole Primaire Publique Les Oustalous(0311024v),E,Enseignant classeélémentaire,Sans spécialité,0,4
70,2556,Toulouse,Ecole Elementaire Application Maurice Becanne(0311025w),E,Enseignant classeélémentaire,Sans spécialité,0,2
71,1627,Toulouse,Ecole Elementaire Publique Lapujade(0311089r),E,Enseignant classeélémentaire,Sans spécialité,0,12
72,1628,Toulouse,Ecole Elementaire Publique Paul Dottin(0311305a),E,Enseignant classeélémentaire,Sans spécialité,0,13
73,1629,Toulouse,Ecole Elementaire Publique Monge (0311569m) E,E,Enseignant classeélémentaire,Sans spécialité,0,4
74,1630,Toulouse,Ecole Elementaire Publique Les Gais Pinsons(0311601x),E,Enseignant classeélémentaire,Sans spécialité,0,6
75,1631,Toulouse,Ecole Elementaire Publique Daniel Faucher(0311604a),E,Enseignant classeélémentaire,Sans spécialité,0,5
76,1632,Toulouse,Ecole Elementaire Publique Le Pastel(0311641r),E,Enseignant classeélémentaire,Sans spécialité,0,3
77,1633,Toulouse,Ecole Elementaire Publique Francoise Heritier(0311645v),E,Enseignant classeélémentaire,Sans spécialité,0,5
78,1634,Toulouse,Ecole Elementaire Publique Didier Daurat(0311693x),E,Enseignant classeélémentaire,Sans spécialité,2,4
79,1635,Toulouse,Ecole Elementaire Publique La Terrasse(0311745d),E,Enseignant classeélémentaire,Sans spécialité,0,5
80,1636,Toulouse,Ecole Primaire Publique Ada Lovelace(0311782u),E,Enseignant classeélémentaire,Sans spécialité,1,4
81,1637,Toulouse,Ecole Elementaire Publique Fabre (0311880a),E,Enseignant classeélémentaire,Sans spécialité,0,7
82,1638,Toulouse,Ecole Elementaire Publique Montaudran(0311923x),E,Enseignant classeélémentaire,Sans spécialité,0,6
83,1639,Toulouse,Ecole Elementaire Publique Leonce Bourliaguet(0311961n),E,Enseignant classeélémentaire,Sans spécialité,0,6
84,1640,Toulouse,Ecole Elementaire Publique Les Vergers(0312028l),E,Enseignant classeélémentaire,Sans spécialité,0,5
85,1641,Toulouse,Ecole Elementaire Publique Michelet(0312077p),E,Enseignant classeélémentaire,Sans spécialité,0,5
86,1642,Toulouse,Ecole Elementaire Publique Moliere (0312078r),E,Enseignant classeélémentaire,Sans spécialité,1,3
87,1644,Toulouse,Ecole Primaire Publique Sept-Deniers(0312080t),E,Enseignant classeélémentaire,Sans spécialité,0,11
88,1645,Toulouse,Ecole Primaire Publique Amidonniers(0312088b),E,Enseignant classeélémentaire,Sans spécialité,1,6
89,1646,Toulouse,Ecole Elementaire Publique Elsa Triolet(0312107x),E,Enseignant classeélémentaire,Sans spécialité,0,6
90,1647,Toulouse,Ecole Elementaire Publique Viollet-Le-Duc(0312108y),E,Enseignant classeélémentaire,Sans spécialité,0,4
91,1648,Toulouse,Ecole Elementaire Publique Jules Ferry(0312110a),E,Enseignant classeélémentaire,Sans spécialité,0,14
92,1649,Toulouse,Ecole Elementaire Publique Chateau D'ancely(0312111b),E,Enseignant classeélémentaire,Sans spécialité,0,9
93,1650,Toulouse,Ecole Elementaire Publique Ferdinand DeLesseps (0312143l),E,Enseignant classeélémentaire,Sans spécialité,0,7
94,1651,Toulouse,Ecole Elementaire Publique Alfred De Musset(0312151v),E,Enseignant classeélémentaire,Sans spécialité,1,9
95,1652,Toulouse,Ecole Elementaire Publique Anatole France(0312152w),E,Enseignant classeélémentaire,Sans spécialité,0,7
96,1653,Toulouse,Ecole Elementaire Publique Henri Guillaumet(0312153x),E,Enseignant classeélémentaire,Sans spécialité,1,6
97,1654,Toulouse,Ecole Elementaire Publique Jean Mace(0312154y),E,Enseignant classeélémentaire,Sans spécialité,0,8
98,1655,Toulouse,Ecole Primaire Publique Littre (0312155z),E,Enseignant classeélémentaire,Sans spécialité,0,7
99,1656,Toulouse,Ecole Elementaire Publique La Juncasse(0312156a),E,Enseignant classeélémentaire,Sans spécialité,0,8
100,1657,Toulouse,Ecole Elementaire Publique Jolimont(0312173u),E,Enseignant classeélémentaire,Sans spécialité,0,7
101,1658,Toulouse,Ecole Elementaire Publique Soupetard(0312174v),E,Enseignant classeélémentaire,Sans spécialité,0,17
102,1659,Toulouse,Ecole Elementaire Publique Courrege(0312176x),E,Enseignant classeélémentaire,Sans spécialité,0,8
103,1660,Toulouse,Ecole Elementaire Publique Rangueil(0312177y),E,Enseignant classeélémentaire,Sans spécialité,0,5
104,1661,Toulouse,Ecole Elementaire Publique Ernest Renan(0312178z),E,Enseignant classeélémentaire,Sans spécialité,0,12
105,1662,Toulouse,Ecole Elementaire Publique Victor Hugo(0312196u),E,Enseignant classeélémentaire,Sans spécialité,0,14
106,1663,Toulouse,Ecole Elementaire Publique Patte D'oie(0312197v),E,Enseignant classeélémentaire,Sans spécialité,0,10
107,1664,Toulouse,Ecole Elementaire Publique Calvinhac(0312226b),E,Enseignant classeélémentaire,Sans spécialité,0,4
108,1665,Toulouse,Ecole Elementaire Publique Buffon (0312227c),E,Enseignant classeélémentaire,Sans spécialité,0,15
109,1666,Toulouse,Ecole Elementaire Publique Etienne Billieres(0312272b),E,Enseignant classeélémentaire,Sans spécialité,1,10
110,1667,Toulouse,Ecole Elementaire Publique Jules Julien(0312273c),E,Enseignant classeélémentaire,Sans spécialité,0,12
111,1668,Toulouse,Ecole Elementaire Publique Michoun (0312276f) E,E,Enseignant classeélémentaire,Sans spécialité,1,11
112,1669,Toulouse,Ecole Elementaire Publique Lakanal (0312292y) E,E,Enseignant classeélémentaire,Sans spécialité,0,7
113,1670,Toulouse,Ecole Elementaire Publique Lardenne(0312293z),E,Enseignant classeélémentaire,Sans spécialité,1,7
114,1671,Toulouse,Ecole Elementaire Publique Jean Jaures(0312294a),E,Enseignant classeélémentaire,Sans spécialité,0,10
115,1672,Toulouse,Ecole Elementaire Publique Gaston Dupouy(0312320d),E,Enseignant classeélémentaire,Sans spécialité,0,4
116,1673,Toulouse,Ecole Elementaire Publique Simone Veil(0312323g),E,Enseignant classeélémentaire,Sans spécialité,0,10
117,1674,Toulouse,Ecole Elementaire Publique Maurice Jacquier(0312324h),E,Enseignant classeélémentaire,Sans spécialité,0,7
118,1675,Toulouse,Ecole Elementaire Publique Georges Bastide(0312334u),E,Enseignant classeélémentaire,Sans spécialité,0,11
119,1676,Toulouse,Ecole Elementaire Publique Clement Falcucci(0312347h),E,Enseignant classeélémentaire,Sans spécialité,0,9
120,1677,Toulouse,Ecole Elementaire Publique Paul Bert(0312402t),E,Enseignant classeélémentaire,Sans spécialité,0,11
121,1678,Toulouse,Ecole Elementaire Publique Sylvain Dauriac(0312411c),E,Enseignant classeélémentaire,Sans spécialité,2,10
122,1679,Toulouse,Ecole Elementaire Publique Marie Et PierreCurie (0312427v),E,Enseignant classeélémentaire,Sans spécialité,0,17
123,1680,Toulouse,Ecole Elementaire Publique Papus (0312542v),E,Enseignant classeélémentaire,Sans spécialité,0,16
124,1681,Toulouse,Ecole Elementaire Publique Chateau De L'hers(0312598f),E,Enseignant classeélémentaire,Sans spécialité,0,4
125,1682,Toulouse,Ecole Elementaire Publique La Maourine(0312673m),E,Enseignant classeélémentaire,Sans spécialité,0,6
126,1683,Toulouse,Ecole Elementaire Publique Les Tibaous(0312679u),E,Enseignant classeélémentaire,Sans spécialité,0,9
127,1684,Toulouse,Ecole Elementaire Publique Fleurance(0312680v),E,Enseignant classeélémentaire,Sans spécialité,0,10
128,1685,Toulouse,Ecole Primaire Publique Olympe De Gouges(0312722r),E,Enseignant classeélémentaire,Sans spécialité,0,7
